,videoId,publishedAt,channelId,title,description,channelTitle,liveBroadcastContent,publishTime,viewCount,likeCount,dislikeCount,favoriteCount,commentCount
32,ETOD7KjGyIk,2020-03-26 22:10:00+00:00,UCfdNM3NAhaBOXCafH7krzrA,Life Inside Quarantine || CHALLENGE,"Life inside quarantine can be difficult, especially if you are separated from your loved ones by a thin plastic sheet, but it's the safest way to control a spreading ...",The Infographics Show,none,2020-03-26 22:10:00+00:00,433666,13646,445,0,1604
33,-9QWvG_e78k,2020-03-31 05:10:11+00:00,UC7Q7pl0z0MrdayvmAnchlJQ,This QUARANTINE I took the Clash Royale Challenge Ft. @CWA Mobile Gaming ie- Clash With Ash,"One of the best collabs with someone whom I used to admire as a Clash Royale player.. MortalArmy, If you haven't already, start playing Clash Royale this ...",MortaL,none,2020-03-31 05:10:11+00:00,431671,32982,627,0,940
34,cmmBD0grCkY,2020-05-19 05:44:13+00:00,UCTOhpb5y1C16v3HGGKzDCHQ,Eva and Modi Fun Quarantine Challenge Game | ايفا ومودي المرح في المنزل لعبة التحدي الحجر الصحي,ُEva and Modi show a fun game to play at home during quarantine. تظهر ايفا ومودي لعبة ممتعة للعب في المنزل أثناء الحجر الصحي. Subscribe to Play With MEA: ...,Play with MEA,none,2020-05-19 05:44:13+00:00,430431,1452,674,0,0
35,QII2w6W5VRQ,2020-04-22 10:30:14+00:00,UCsTQwf-oLtik92J3jBUx0FA,Quarantine photoshoot challenge | EP 2 | ft Mr.mnv &amp; Rishabh | Sanket Mehta,If you loved this DIY concept and if you're trying this concept upload it on instagram and tag don't forget to mention me in your post @sankett25 insta handles ...,Sanket Mehta,none,2020-04-22 10:30:14+00:00,410934,39930,173,0,2008
36,n5a3i5o1pXo,2020-03-24 15:47:49+00:00,UCrFWhlHv001rC2lzb2FEhag,MOST LIKELY CHALLENGE | QUARANTINE GAMES | DAY 1,"LAHORE IS UNDER LOCK DOWN! SO WE DECIDED TO DO A DAILY CHALLENGE TO KEEP YOU GUYS ENTERTAINED!! FIRST CHALLENGE IS THE ""MOST ...",BETZMANN VLOGS,none,2020-03-24 15:47:49+00:00,401123,18381,300,0,1030
37,H8bZdYH0dt4,2020-04-07 10:45:16+00:00,UCsTQwf-oLtik92J3jBUx0FA,Quarantine photoshoot challenge | EP 1 | Ft Mr.mnv &amp; Rishabh | Sanket Mehta,If you loved this DIY concept and if you're trying this concept upload it on instagram and tag don't forget to mention me in your post @sankett25 insta handles ...,Sanket Mehta,none,2020-04-07 10:45:16+00:00,399998,42436,223,0,1449
38,Boa1HvQjJFE,2020-03-26 20:30:00+00:00,UCV6cBaRQdlcUzU_i55ZmRgg,ABS IN 2 WEEKS?! i tried Chloe ting&#39;s 2 week quarantine SHRED challenge to GLOW UP... i&#39;m SHOOK,Hey guys this is Chloe tings abs in 2 weeks challenge in quarantine to glow up. The results are crazy!! Subscribe: https://bit.ly/3au4b02 Follow my fitness ...,The Daily Student,none,2020-03-26 20:30:00+00:00,392930,7671,163,0,986
39,qxViWbUM1oM,2020-03-24 15:02:05+00:00,UCK5PP5Up6Dz80dv5G4XuiiA,Day 2: BEST Arm Workout (Home Workout Challenge),DO THE FREE QUIZ TO SEE THE BEST PROGRAM FOR YOU HERE: https://bit.ly/2QHoAX8 ♡ GET YOUR 30 DAY CHALLENGE MEAL PLAN HERE: ...,Holly Dolke,none,2020-03-24 15:02:05+00:00,385827,11543,158,0,1221
40,VURXGtdXiZo,2020-04-03 20:45:10+00:00,UCNNAWP6LWbkgQm2ta8PV1Hw,INSTAGRAM Followers Control My DATE Challenge **Dating My Crush In Quarantine**💋|Sawyer Sharbino,"Hey guys it ya boy Sawyer Sharbino, bringing you instagram followers control my date challenge dating my crush Indi Star in quarantine. Yes as you all know we ...",Sawyer Sharbino,none,2020-04-03 20:45:10+00:00,360563,14739,441,0,
41,KBEW2UfrIj4,2020-04-08 08:54:48+00:00,UCKmgxHhKqXwZPBAKvUenvsA,Challenge Claire&#39;s Daddy | Masih #DiRumahAja - Quarantine,Song: Ikson - Rays Music promoted by Vlog No Copyright Music. Video Link: https://youtu.be/iPo3F_1199o.,Shandy Aulia,none,2020-04-08 08:54:48+00:00,358101,8475,140,0,533
42,qli5Cw5haBI,2020-05-03 17:45:11+00:00,UCNNAWP6LWbkgQm2ta8PV1Hw,IS LIPER OFFICIAL?? INSTAGRAM Q&amp;A Challenge **QUARANTINE VLOG** ❤️🔒| Sawyer Sharbino,"Hi guys it ya boy Sawyer Sharbino, bringing you is liper official instagram q & a challenge, quarantine vlog. Thats right guys i took some of your most asked ...",Sawyer Sharbino,none,2020-05-03 17:45:11+00:00,357556,19699,684,0,
43,dLnAnYGhYPI,2020-04-15 17:23:11+00:00,UC-8yLb1K-DEC6dCYlLOJfiQ,NO PHONE for 24 hours challenge in quarantine !! (i literally climbed the walls),download Houseparty here! https://pixly.go2cloud.org/SH1ej thanks to Epic Games for sponsoring this video! hello everyone !! since a huuuuge part of my life is ...,Sadie Aldis,none,2020-04-15 17:23:11+00:00,355790,18673,105,0,1303
44,uj3ZFE0dPDs,2020-05-04 19:17:41+00:00,UCag7XoiJLutjBTsM0tAzUzg,HOME WORKOUT | 7 MINUTE GLUTES WORKOUT FOR WOMEN | QUARANTINE WORKOUT|  HOURGLASS CHALLENGE,STAY AT HOME WORKOUT - 7 MINUTE LIFT & SCULPT GLUTE WORKOUT FOR WOMEN - AT HOME HOURGLASS CHALLENGE QUARANTINE WORKOUT ...,Lucy Wyndham-Read,none,2020-05-04 19:17:41+00:00,341674,6786,70,0,273
45,1TLLAmVxPxY,2020-04-14 00:44:17+00:00,UCYkwcqwLUXZu3aJ7VO5VONg,DANGERBOY GOES BIG ON E-BIKE! QUARANTINE CHALLENGES AT HOME,We've been stuck at home for over three weeks so we decided to come up with a challenge! Throwing darts at @Monster Energy cans and doing the challenge ...,The Deegan's,none,2020-04-14 00:44:17+00:00,340786,6166,191,0,
46,6WlkCaTfO5o,2020-03-22 15:02:26+00:00,UCK5PP5Up6Dz80dv5G4XuiiA,Day 0: Welcome - 30 Day At Home Workouts (Home Workout Challenge),Welcome to the 30 Day Challenge! I am so excited to be starting this workout schedule with you all. I decided to create this very last minute because I want to ...,Holly Dolke,none,2020-03-22 15:02:26+00:00,331691,8759,55,0,553
47,JI-UZUA6Jw0,2020-03-24 10:57:23+00:00,UCuF8-WmBJvhV5rZj2aYSoYw,"Nayanthara &amp; Trisha&#39;s Quarantine Day | Hand Emoji Challenge, Aishwarya Rajesh | Tik Tok Challenge","Nayanthara & Trisha's Quarantine Day | Hand Emoji Challenge, Vignesh Shivan, Aishwarya Rajesh | News #TikTok During the home quarantine time in the ...",IndiaGlitz Tamil Movies | Interviews | Shooting Spot | Review | Gossip,none,2020-03-24 10:57:23+00:00,326497,2520,285,0,207
48,e0egJx-9SQk,2020-03-25 16:21:20+00:00,UCrFWhlHv001rC2lzb2FEhag,WHAT&#39;S IN THE BOX CHALLENGE | QUARANTINE GAMES | DAY 2,Day 2 in the Jafry House and today we decided to play the 'Whats in the box Challenge' ENJOY! SUBSCRIBE 4 MORE SAY HI TO: ZOYA: ...,BETZMANN VLOGS,none,2020-03-25 16:21:20+00:00,319790,15504,261,0,715
49,TTskvkKKjTs,2020-03-26 16:03:05+00:00,UCrFWhlHv001rC2lzb2FEhag,7 SECOND CHALLENGE | QUARANTINE GAMES | DAY 3,HEY GUYS HOPE YOU ALL DOING WELL !! ON DAY 3 IN QUARANTINE WE DECIDED TO PLAY THE 7 SECOND CHALLENGE... and it got crazy !,BETZMANN VLOGS,none,2020-03-26 16:03:05+00:00,305192,15808,220,0,914
